Stat,Family_Id,Family_Size,Family_Members,Position
Team_EPA_Per_Dropback,1,7,"Team_CPOE, Team_Deep_Completion_Pct, Team_Leading_Snap_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",QB
Team_CPOE,1,7,"Team_EPA_Per_Dropback, Team_Deep_Completion_Pct, Team_Leading_Snap_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",QB
Team_aDOT,2,2,Team_Deep_Attempt_Pct,QB
Team_Deep_Attempt_Pct,2,2,Team_aDOT,QB
Team_Deep_Completion_Pct,1,7,"Team_EPA_Per_Dropback, Team_CPOE, Team_Leading_Snap_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",QB
Team_Sack_Rate_Allowed,3,1,(none),QB
Team_QB_Hit_Rate_Allowed,4,1,(none),QB
Team_Leading_Snap_Pct,1,7,"Team_EPA_Per_Dropback, Team_CPOE, Team_Deep_Completion_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",QB
Team_Trailing_Snap_Pct,1,7,"Team_EPA_Per_Dropback, Team_CPOE, Team_Deep_Completion_Pct, Team_Leading_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",QB
Team_OL_Penalty_Rate,5,1,(none),QB
Team_4th_Down_Aggressiveness,6,1,(none),QB
Team_Weekly_EPA_Variance,7,1,(none),QB
Team_Weekly_Points_Variance,8,1,(none),QB
Team_Three_And_Out_Rate,9,1,(none),QB
Team_Scoring_Drive_Rate,1,7,"Team_EPA_Per_Dropback, Team_CPOE, Team_Deep_Completion_Pct, Team_Leading_Snap_Pct, Team_Trailing_Snap_Pct, Team_TD_Drive_Rate",QB
Team_TD_Drive_Rate,1,7,"Team_EPA_Per_Dropback, Team_CPOE, Team_Deep_Completion_Pct, Team_Leading_Snap_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate",QB
Team_Avg_Plays_Per_Drive,10,1,(none),QB
Team_Avg_Starting_Field_Pos,11,1,(none),QB
Team_TE_Target_Share,12,1,(none),QB
Team_WR_Target_Share,13,1,(none),QB
Team_RB_Target_Share,14,1,(none),QB
Team_PROE,15,1,(none),QB
Team_Raw_Plays_PG,16,1,(none),QB
Team_Rush_Stuff_Rate,17,1,(none),QB
Team_Shotgun_Rate,18,1,(none),QB
Team_Goal_To_Go_Pass_Rate,19,1,(none),QB
