Position,Stat,Significance_Window,RMSE_Point_Estimate,RMSE_CI_Lower,RMSE_CI_Upper,Concordance_Point_Estimate,Concordance_CI_Lower,Concordance_CI_Upper,N_Seasons,Breakout_AUC_B,Breakout_AUC_P,Bust_AUC_B,Bust_AUC_P,Concordance_Point_Estimate_BiasCorrected,Concordance_CI_Lower_BiasCorrected,Concordance_CI_Upper_BiasCorrected,Direct_Read_Mean_Rho,Direct_Read_Pct_Negative,Fold_Coef_Mean,Fold_Coef_Pct_Negative,Method_Disagreement_Flag,Family_Id,Family_Size,Family_Members,CI_Clears_Boundary_Margin,Abs_Effect_Size
QB,Team_EPA_Per_Dropback,12,NA,NA,NA,0.0208,0.007,0.0342,6,0.549,0.0579072654172973,0.637,0.361310428526179,0.0356868,0.0218868,0.0490868,0.0737272101823185,0.333333333333333,0.61880546844152,0.333333333333333,0,1,7,"Team_CPOE, Team_Deep_Completion_Pct, Team_Leading_Snap_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",TRUE,0.0356868
QB,Team_CPOE,12,NA,NA,NA,-0.0139,-0.029,0,6,0.464,0.589638551626567,0.612,0.0590582290905367,9.86800000000001e-4,-0.0141132,0.0148868,0.148976608187135,0.166666666666667,0.049791769782962,0.166666666666667,0,1,7,"Team_EPA_Per_Dropback, Team_Deep_Completion_Pct, Team_Leading_Snap_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",FALSE,9.86800000000001e-4
QB,Team_aDOT,12,NA,NA,NA,-0.0139,-0.0278,0,6,0.38,0.105645429201877,0.634,0.100348246462291,9.86800000000001e-4,-0.0129132,0.0148868,0.0182404540763674,0.333333333333333,-0.0506384221745253,0.833333333333333,0,2,2,Team_Deep_Attempt_Pct,FALSE,9.86800000000001e-4
QB,Team_Deep_Attempt_Pct,12,NA,NA,NA,-0.0764,-0.1377,-0.0203,6,0.363,0.0625,0.629,0.0590582290905367,-0.0615132,-0.1228132,-0.0054132,-0.00280357757137942,0.333333333333333,-3.03734454195093,0.666666666666667,0,2,2,Team_aDOT,FALSE,0.0615132
QB,Team_Deep_Completion_Pct,12,NA,NA,NA,0.0347,-0.029,0.0855,6,0.442,NA,0.639,0.0590582290905367,0.0495868,-0.0141132,0.1003868,-0.0453732370141039,0.666666666666667,-7.14780973809738,1,1,1,7,"Team_EPA_Per_Dropback, Team_CPOE, Team_Leading_Snap_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",FALSE,0.0495868
QB,Team_Sack_Rate_Allowed,12,NA,NA,NA,0.0486,-0.0342,0.1316,6,0.437,0.280712665268496,0.649,0.280712665268496,0.0634868,-0.0193132,0.1464868,0.0556673546611627,0.333333333333333,18.5329058995856,0,0,3,1,(none),FALSE,0.0634868
QB,Team_QB_Hit_Rate_Allowed,12,NA,NA,NA,0.0278,-0.0515,0.0987,6,0.414,0.0590582290905367,0.631,1,0.0426868,-0.0366132,0.1135868,0.169418644650843,0.166666666666667,19.4737264104103,0,0,4,1,(none),FALSE,0.0426868
QB,Team_Leading_Snap_Pct,12,NA,NA,NA,-0.0139,-0.0882,0.0519,6,0.625,0.0590582290905367,0.617,0.177529852412153,9.86800000000001e-4,-0.0733132,0.0667868,0.158810629514964,0.333333333333333,5.48353594066443,0,0,1,7,"Team_EPA_Per_Dropback, Team_CPOE, Team_Deep_Completion_Pct, Team_Trailing_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",FALSE,9.86800000000001e-4
QB,Team_Trailing_Snap_Pct,12,NA,NA,NA,0.0069,-0.0736,0.0844,6,0.633,0.0590582290905367,0.638,0.4375,0.0217868,-0.0587132,0.0992868,-0.212547299621603,0.666666666666667,-6.1598909769157,1,1,1,7,"Team_EPA_Per_Dropback, Team_CPOE, Team_Deep_Completion_Pct, Team_Leading_Snap_Pct, Team_Scoring_Drive_Rate, Team_TD_Drive_Rate",FALSE,0.0217868
QB,Team_OL_Penalty_Rate,12,NA,NA,NA,-0.0069,-0.053,0.027,6,0.449,0.09375,0.647,0.5625,0.0079868,-0.0381132,0.0418868,0.0197626418988648,0.5,0.358145225023759,0.166666666666667,0,5,1,(none),FALSE,0.0079868
QB,Team_4th_Down_Aggressiveness,12,NA,NA,NA,-0.0208,-0.089,0.0286,6,0.577,0.09375,0.625,NA,-0.0059132,-0.0741132,0.0434868,-0.014766081871345,0.5,7.471697489587,0,0,6,1,(none),FALSE,0.0059132
